Timecode In	Timecode Out	Subtitle
00:01:25:00	00:01:26:00	01:25
00:01:26:00	00:01:27:00	01:26
00:01:27:00	00:01:28:00	01:27
00:01:28:00	00:01:29:00	01:28
00:01:29:00	00:01:30:00	01:29
00:01:30:00	00:01:31:00	01:30
00:01:31:00	00:01:32:00	01:31
00:01:32:00	00:01:33:00	01:32
00:01:33:00	00:01:34:00	01:33
00:01:34:00	00:01:35:00	01:34
00:01:35:00	00:01:36:00	01:35
00:01:36:00	00:01:37:00	01:36
00:01:37:00	00:01:38:00	01:37
00:01:38:00	00:01:39:00	01:38
00:01:39:00	00:01:40:00	01:39
00:01:40:00	00:01:41:00	01:40
00:01:41:00	00:01:42:00	01:41
00:01:42:00	00:01:43:00	01:42
00:01:43:00	00:01:44:00	01:43
00:01:44:00	00:01:45:00	01:44
00:01:45:00	00:01:46:00	01:45
00:01:46:00	00:01:47:00	01:46
00:01:47:00	00:01:48:00	01:47
00:01:48:00	00:01:49:00	01:48
00:01:49:00	00:01:50:00	01:49
00:01:50:00	00:01:51:00	01:50
00:01:51:00	00:01:52:00	01:51
00:01:52:00	00:01:53:00	01:52
00:01:53:00	00:01:54:00	01:53
00:01:54:00	00:01:55:00	01:54
00:01:55:00	00:01:56:00	01:55
00:01:56:00	00:01:57:00	01:56
00:01:57:00	00:01:58:00	01:57
00:01:58:00	00:01:59:00	01:58
00:01:59:00	00:01:60:00	01:59
00:02:00:00	00:02:01:00	02:00
00:02:01:00	00:02:02:00	02:01
00:02:02:00	00:02:03:00	02:02
00:02:03:00	00:02:04:00	02:03
00:02:04:00	00:02:05:00	02:04
00:02:05:00	00:02:06:00	02:05
00:02:06:00	00:02:07:00	02:06
00:02:07:00	00:02:08:00	02:07
00:02:08:00	00:02:09:00	02:08
00:02:09:00	00:02:10:00	02:09
00:02:10:00	00:02:11:00	02:10
00:02:11:00	00:02:12:00	02:11
00:02:12:00	00:02:13:00	02:12
00:02:13:00	00:02:14:00	02:13
00:02:14:00	00:02:15:00	02:14
00:02:15:00	00:02:16:00	02:15
00:02:16:00	00:02:17:00	02:16
00:02:17:00	00:02:18:00	02:17
00:02:18:00	00:02:19:00	02:18
00:02:19:00	00:02:20:00	02:19
00:02:20:00	00:02:21:00	02:20
00:02:21:00	00:02:22:00	02:21
00:02:22:00	00:02:23:00	02:22
00:02:23:00	00:02:24:00	02:23
00:02:24:00	00:02:25:00	02:24
00:02:25:00	00:02:26:00	02:25
00:02:26:00	00:02:27:00	02:26
00:02:27:00	00:02:28:00	02:27
00:02:28:00	00:02:29:00	02:28
00:02:29:00	00:02:30:00	02:29
00:02:30:00	00:02:31:00	02:30
00:02:31:00	00:02:32:00	02:31
00:02:32:00	00:02:33:00	02:32
00:02:33:00	00:02:34:00	02:33
00:02:34:00	00:02:35:00	02:34
00:02:35:00	00:02:36:00	02:35
00:02:36:00	00:02:37:00	02:36
00:02:37:00	00:02:38:00	02:37
00:02:38:00	00:02:39:00	02:38
00:02:39:00	00:02:40:00	02:39
00:02:40:00	00:02:41:00	02:40
00:02:41:00	00:02:42:00	02:41
00:02:42:00	00:02:43:00	02:42
00:02:43:00	00:02:44:00	02:43
00:02:44:00	00:02:45:00	02:44
00:02:45:00	00:02:46:00	02:45
00:02:46:00	00:02:47:00	02:46
00:02:47:00	00:02:48:00	02:47
00:02:48:00	00:02:49:00	02:48
00:02:49:00	00:02:50:00	02:49
00:02:50:00	00:02:51:00	02:50
00:02:51:00	00:02:52:00	02:51
00:02:52:00	00:02:53:00	02:52
00:02:53:00	00:02:54:00	02:53
00:02:54:00	00:02:55:00	02:54
00:02:55:00	00:02:56:00	02:55
00:02:56:00	00:02:57:00	02:56
00:02:57:00	00:02:58:00	02:57
00:02:58:00	00:02:59:00	02:58
00:02:59:00	00:02:60:00	02:59
00:03:00:00	00:03:01:00	03:00
00:03:01:00	00:03:02:00	03:01
00:03:02:00	00:03:03:00	03:02
00:03:03:00	00:03:04:00	03:03
00:03:04:00	00:03:05:00	03:04
00:03:05:00	00:03:06:00	03:05
00:03:06:00	00:03:07:00	03:06
00:03:07:00	00:03:08:00	03:07
00:03:08:00	00:03:09:00	03:08
00:03:09:00	00:03:10:00	03:09
00:03:10:00	00:03:11:00	03:10
00:03:11:00	00:03:12:00	03:11
00:03:12:00	00:03:13:00	03:12
00:03:13:00	00:03:14:00	03:13
00:03:14:00	00:03:15:00	03:14
00:03:15:00	00:03:16:00	03:15
00:03:16:00	00:03:17:00	03:16
00:03:17:00	00:03:18:00	03:17
00:03:18:00	00:03:19:00	03:18
00:03:19:00	00:03:20:00	03:19
00:03:20:00	00:03:21:00	03:20
00:03:21:00	00:03:22:00	03:21
00:03:22:00	00:03:23:00	03:22
00:03:23:00	00:03:24:00	03:23
00:03:24:00	00:03:25:00	03:24
00:03:25:00	00:03:26:00	03:25
00:03:26:00	00:03:27:00	03:26
00:03:27:00	00:03:28:00	03:27
00:03:28:00	00:03:29:00	03:28
00:03:29:00	00:03:30:00	03:29
00:03:30:00	00:03:31:00	03:30
00:03:31:00	00:03:32:00	03:31
00:03:32:00	00:03:33:00	03:32
00:03:33:00	00:03:34:00	03:33
00:03:34:00	00:03:35:00	03:34
00:03:35:00	00:03:36:00	03:35
00:03:36:00	00:03:37:00	03:36
00:03:37:00	00:03:38:00	03:37
00:03:38:00	00:03:39:00	03:38
00:03:39:00	00:03:40:00	03:39
00:03:40:00	00:03:41:00	03:40
00:03:41:00	00:03:42:00	03:41
00:03:42:00	00:03:43:00	03:42
00:03:43:00	00:03:44:00	03:43
00:03:44:00	00:03:45:00	03:44
00:03:45:00	00:03:46:00	03:45
00:03:46:00	00:03:47:00	03:46
00:03:47:00	00:03:48:00	03:47
00:03:48:00	00:03:49:00	03:48
00:03:49:00	00:03:50:00	03:49
00:03:50:00	00:03:51:00	03:50
00:03:51:00	00:03:52:00	03:51
00:03:52:00	00:03:53:00	03:52
00:03:53:00	00:03:54:00	03:53
00:03:54:00	00:03:55:00	03:54
00:03:55:00	00:03:56:00	03:55
00:03:56:00	00:03:57:00	03:56
00:03:57:00	00:03:58:00	03:57
00:03:58:00	00:03:59:00	03:58
00:03:59:00	00:03:60:00	03:59
00:04:00:00	00:04:01:00	04:00
00:04:01:00	00:04:02:00	04:01
00:04:02:00	00:04:03:00	04:02
00:04:03:00	00:04:04:00	04:03
00:04:04:00	00:04:05:00	04:04
00:04:05:00	00:04:06:00	04:05
00:04:06:00	00:04:07:00	04:06
00:04:07:00	00:04:08:00	04:07
00:04:08:00	00:04:09:00	04:08
00:04:09:00	00:04:10:00	04:09
00:04:10:00	00:04:11:00	04:10
00:04:11:00	00:04:12:00	04:11
00:04:12:00	00:04:13:00	04:12
00:04:13:00	00:04:14:00	04:13
00:04:14:00	00:04:15:00	04:14
00:04:15:00	00:04:16:00	04:15
00:04:16:00	00:04:17:00	04:16
00:04:17:00	00:04:18:00	04:17
00:04:18:00	00:04:19:00	04:18
00:04:19:00	00:04:20:00	04:19
00:04:20:00	00:04:21:00	04:20
00:04:21:00	00:04:22:00	04:21
00:04:22:00	00:04:23:00	04:22
00:04:23:00	00:04:24:00	04:23
00:04:24:00	00:04:25:00	04:24
00:04:25:00	00:04:26:00	04:25
00:04:26:00	00:04:27:00	04:26
00:04:27:00	00:04:28:00	04:27
00:04:28:00	00:04:29:00	04:28
00:04:29:00	00:04:30:00	04:29
00:04:30:00	00:04:31:00	04:30
00:04:31:00	00:04:32:00	04:31
00:04:32:00	00:04:33:00	04:32
00:04:33:00	00:04:34:00	04:33
00:04:34:00	00:04:35:00	04:34
00:04:35:00	00:04:36:00	04:35
00:04:36:00	00:04:37:00	04:36
00:04:37:00	00:04:38:00	04:37
00:04:38:00	00:04:39:00	04:38
00:04:39:00	00:04:40:00	04:39
00:04:40:00	00:04:41:00	04:40
00:04:41:00	00:04:42:00	04:41
00:04:42:00	00:04:43:00	04:42
00:04:43:00	00:04:44:00	04:43
00:04:44:00	00:04:45:00	04:44
00:04:45:00	00:04:46:00	04:45
00:04:46:00	00:04:47:00	04:46
00:04:47:00	00:04:48:00	04:47
00:04:48:00	00:04:49:00	04:48
00:04:49:00	00:04:50:00	04:49
00:04:50:00	00:04:51:00	04:50
00:04:51:00	00:04:52:00	04:51
00:04:52:00	00:04:53:00	04:52
00:04:53:00	00:04:54:00	04:53
00:04:54:00	00:04:55:00	04:54
00:04:55:00	00:04:56:00	04:55
00:04:56:00	00:04:57:00	04:56
00:04:57:00	00:04:58:00	04:57
00:04:58:00	00:04:59:00	04:58
00:04:59:00	00:04:60:00	04:59
00:05:00:00	00:05:01:00	05:00
00:05:01:00	00:05:02:00	05:01
00:05:02:00	00:05:03:00	05:02
00:05:03:00	00:05:04:00	05:03
00:05:04:00	00:05:05:00	05:04
00:05:05:00	00:05:06:00	05:05
00:05:06:00	00:05:07:00	05:06
00:05:07:00	00:05:08:00	05:07
00:05:08:00	00:05:09:00	05:08
00:05:09:00	00:05:10:00	05:09
00:05:10:00	00:05:11:00	05:10
00:05:11:00	00:05:12:00	05:11
00:05:12:00	00:05:13:00	05:12
00:05:13:00	00:05:14:00	05:13
00:05:14:00	00:05:15:00	05:14
00:05:15:00	00:05:16:00	05:15
00:05:16:00	00:05:17:00	05:16
00:05:17:00	00:05:18:00	05:17
00:05:18:00	00:05:19:00	05:18
00:05:19:00	00:05:20:00	05:19
00:05:20:00	00:05:21:00	05:20
00:05:21:00	00:05:22:00	05:21
00:05:22:00	00:05:23:00	05:22
00:05:23:00	00:05:24:00	05:23
00:05:24:00	00:05:25:00	05:24
00:05:25:00	00:05:26:00	05:25
00:05:26:00	00:05:27:00	05:26
00:05:27:00	00:05:28:00	05:27
00:05:28:00	00:05:29:00	05:28
00:05:29:00	00:05:30:00	05:29
00:05:30:00	00:05:31:00	05:30
00:05:31:00	00:05:32:00	05:31
00:05:32:00	00:05:33:00	05:32
00:05:33:00	00:05:34:00	05:33
00:05:34:00	00:05:35:00	05:34
00:05:35:00	00:05:36:00	05:35
00:05:36:00	00:05:37:00	05:36
00:05:37:00	00:05:38:00	05:37
00:05:38:00	00:05:39:00	05:38
00:05:39:00	00:05:40:00	05:39
00:05:40:00	00:05:41:00	05:40
00:05:41:00	00:05:42:00	05:41
00:05:42:00	00:05:43:00	05:42
00:05:43:00	00:05:44:00	05:43
00:05:44:00	00:05:45:00	05:44
00:05:45:00	00:05:46:00	05:45
00:05:46:00	00:05:47:00	05:46
00:05:47:00	00:05:48:00	05:47
00:05:48:00	00:05:49:00	05:48
00:05:49:00	00:05:50:00	05:49
00:05:50:00	00:05:51:00	05:50
00:05:51:00	00:05:52:00	05:51
00:05:52:00	00:05:53:00	05:52
00:05:53:00	00:05:54:00	05:53
00:05:54:00	00:05:55:00	05:54
00:05:55:00	00:05:56:00	05:55
00:05:56:00	00:05:57:00	05:56
00:05:57:00	00:05:58:00	05:57
00:05:58:00	00:05:59:00	05:58
00:05:59:00	00:05:60:00	05:59
00:06:00:00	00:06:01:00	06:00
00:06:01:00	00:06:02:00	06:01
00:06:02:00	00:06:03:00	06:02
00:06:03:00	00:06:04:00	06:03
00:06:04:00	00:06:05:00	06:04
00:06:05:00	00:06:06:00	06:05
00:06:06:00	00:06:07:00	06:06
00:06:07:00	00:06:08:00	06:07
00:06:08:00	00:06:09:00	06:08
00:06:09:00	00:06:10:00	06:09
00:06:10:00	00:06:11:00	06:10
00:06:11:00	00:06:12:00	06:11
00:06:12:00	00:06:13:00	06:12
00:06:13:00	00:06:14:00	06:13
00:06:14:00	00:06:15:00	06:14
00:06:15:00	00:06:16:00	06:15
00:06:16:00	00:06:17:00	06:16
00:06:17:00	00:06:18:00	06:17
00:06:18:00	00:06:19:00	06:18
00:06:19:00	00:06:20:00	06:19
00:06:20:00	00:06:21:00	06:20
00:06:21:00	00:06:22:00	06:21
00:06:22:00	00:06:23:00	06:22
00:06:23:00	00:06:24:00	06:23
00:06:24:00	00:06:25:00	06:24
00:06:25:00	00:06:26:00	06:25
00:06:26:00	00:06:27:00	06:26
00:06:27:00	00:06:28:00	06:27
00:06:28:00	00:06:29:00	06:28
00:06:29:00	00:06:30:00	06:29
00:06:30:00	00:06:31:00	06:30
00:06:31:00	00:06:32:00	06:31
00:06:32:00	00:06:33:00	06:32
00:06:33:00	00:06:34:00	06:33
00:06:34:00	00:06:35:00	06:34
00:06:35:00	00:06:36:00	06:35
00:06:36:00	00:06:37:00	06:36
00:06:37:00	00:06:38:00	06:37
00:06:38:00	00:06:39:00	06:38
00:06:39:00	00:06:40:00	06:39
00:06:40:00	00:06:41:00	06:40
00:06:41:00	00:06:42:00	06:41
00:06:42:00	00:06:43:00	06:42
00:06:43:00	00:06:44:00	06:43
00:06:44:00	00:06:45:00	06:44
00:06:45:00	00:06:46:00	06:45
00:06:46:00	00:06:47:00	06:46
00:06:47:00	00:06:48:00	06:47
00:06:48:00	00:06:49:00	06:48
00:06:49:00	00:06:50:00	06:49
00:06:50:00	00:06:51:00	06:50
00:06:51:00	00:06:52:00	06:51
00:06:52:00	00:06:53:00	06:52
00:06:53:00	00:06:54:00	06:53
00:06:54:00	00:06:55:00	06:54
00:06:55:00	00:06:56:00	06:55
00:06:56:00	00:06:57:00	06:56
00:06:57:00	00:06:58:00	06:57
00:06:58:00	00:06:59:00	06:58
00:06:59:00	00:06:60:00	06:59
00:07:00:00	00:07:01:00	07:00
00:07:01:00	00:07:02:00	07:01
00:07:02:00	00:07:03:00	07:02
00:07:03:00	00:07:04:00	07:03
00:07:04:00	00:07:05:00	07:04
00:07:05:00	00:07:06:00	07:05
00:07:06:00	00:07:07:00	07:06
00:07:07:00	00:07:08:00	07:07
00:07:08:00	00:07:09:00	07:08
00:07:09:00	00:07:10:00	07:09
00:07:10:00	00:07:11:00	07:10
00:07:11:00	00:07:12:00	07:11
00:07:12:00	00:07:13:00	07:12
00:07:13:00	00:07:14:00	07:13
00:07:14:00	00:07:15:00	07:14
00:07:15:00	00:07:16:00	07:15
00:07:16:00	00:07:17:00	07:16
00:07:17:00	00:07:18:00	07:17
00:07:18:00	00:07:19:00	07:18
00:07:19:00	00:07:20:00	07:19
00:07:20:00	00:07:21:00	07:20
00:07:21:00	00:07:22:00	07:21
00:07:22:00	00:07:23:00	07:22
00:07:23:00	00:07:24:00	07:23
00:07:24:00	00:07:25:00	07:24
00:07:25:00	00:07:26:00	07:25
00:07:26:00	00:07:27:00	07:26
00:07:27:00	00:07:28:00	07:27
00:07:28:00	00:07:29:00	07:28
00:07:29:00	00:07:30:00	07:29
00:07:30:00	00:07:31:00	07:30
00:07:31:00	00:07:32:00	07:31
00:07:32:00	00:07:33:00	07:32
00:07:33:00	00:07:34:00	07:33
00:07:34:00	00:07:35:00	07:34
00:07:35:00	00:07:36:00	07:35
00:07:36:00	00:07:37:00	07:36
00:07:37:00	00:07:38:00	07:37
00:07:38:00	00:07:39:00	07:38
00:07:39:00	00:07:40:00	07:39
00:07:40:00	00:07:41:00	07:40
00:07:41:00	00:07:42:00	07:41
00:07:42:00	00:07:43:00	07:42
00:07:43:00	00:07:44:00	07:43
00:07:44:00	00:07:45:00	07:44
00:07:45:00	00:07:46:00	07:45
00:07:46:00	00:07:47:00	07:46
00:07:47:00	00:07:48:00	07:47
00:07:48:00	00:07:49:00	07:48
00:07:49:00	00:07:50:00	07:49
00:07:50:00	00:07:51:00	07:50
00:07:51:00	00:07:52:00	07:51
00:07:52:00	00:07:53:00	07:52
00:07:53:00	00:07:54:00	07:53
00:07:54:00	00:07:55:00	07:54
00:07:55:00	00:07:56:00	07:55
00:07:56:00	00:07:57:00	07:56
00:07:57:00	00:07:58:00	07:57
00:07:58:00	00:07:59:00	07:58
00:07:59:00	00:07:60:00	07:59
00:08:00:00	00:08:01:00	08:00
00:08:01:00	00:08:02:00	08:01
00:08:02:00	00:08:03:00	08:02
00:08:03:00	00:08:04:00	08:03
00:08:04:00	00:08:05:00	08:04
00:08:05:00	00:08:06:00	08:05
00:08:06:00	00:08:07:00	08:06
00:08:07:00	00:08:08:00	08:07
00:08:08:00	00:08:09:00	08:08
00:08:09:00	00:08:10:00	08:09
00:08:10:00	00:08:11:00	08:10
00:08:11:00	00:08:12:00	08:11
00:08:12:00	00:08:13:00	08:12
00:08:13:00	00:08:14:00	08:13
00:08:14:00	00:08:15:00	08:14
00:08:15:00	00:08:16:00	08:15
00:08:16:00	00:08:17:00	08:16
00:08:17:00	00:08:18:00	08:17
00:08:18:00	00:08:19:00	08:18
00:08:19:00	00:08:20:00	08:19
00:08:20:00	00:08:21:00	08:20
00:08:21:00	00:08:22:00	08:21
00:08:22:00	00:08:23:00	08:22
00:08:23:00	00:08:24:00	08:23
00:08:24:00	00:08:25:00	08:24
00:08:25:00	00:08:26:00	08:25
00:08:26:00	00:08:27:00	08:26
00:08:27:00	00:08:28:00	08:27
00:08:28:00	00:08:29:00	08:28
00:08:29:00	00:08:30:00	08:29
00:08:30:00	00:08:31:00	08:30
00:08:31:00	00:08:32:00	08:31
00:08:32:00	00:08:33:00	08:32
00:08:33:00	00:08:34:00	08:33
00:08:34:00	00:08:35:00	08:34
00:08:35:00	00:08:36:00	08:35
00:08:36:00	00:08:37:00	08:36
00:08:37:00	00:08:38:00	08:37
00:08:38:00	00:08:39:00	08:38
00:08:39:00	00:08:40:00	08:39
00:08:40:00	00:08:41:00	08:40
00:08:41:00	00:08:42:00	08:41
00:08:42:00	00:08:43:00	08:42
00:08:43:00	00:08:44:00	08:43
00:08:44:00	00:08:45:00	08:44
00:08:45:00	00:08:46:00	08:45
00:08:46:00	00:08:47:00	08:46
00:08:47:00	00:08:48:00	08:47
00:08:48:00	00:08:49:00	08:48
00:08:49:00	00:08:50:00	08:49
00:08:50:00	00:08:51:00	08:50
00:08:51:00	00:08:52:00	08:51
00:08:52:00	00:08:53:00	08:52
00:08:53:00	00:08:54:00	08:53
00:08:54:00	00:08:55:00	08:54
00:08:55:00	00:08:56:00	08:55
00:08:56:00	00:08:57:00	08:56
00:08:57:00	00:08:58:00	08:57
00:08:58:00	00:08:59:00	08:58
00:08:59:00	00:08:60:00	08:59
00:09:00:00	00:09:01:00	09:00
00:09:01:00	00:09:02:00	09:01
00:09:02:00	00:09:03:00	09:02
00:09:03:00	00:09:04:00	09:03
00:09:04:00	00:09:05:00	09:04
00:09:05:00	00:09:06:00	09:05
00:09:06:00	00:09:07:00	09:06
00:09:07:00	00:09:08:00	09:07
00:09:08:00	00:09:09:00	09:08
00:09:09:00	00:09:10:00	09:09
00:09:10:00	00:09:11:00	09:10
00:09:11:00	00:09:12:00	09:11
00:09:12:00	00:09:13:00	09:12
00:09:13:00	00:09:14:00	09:13
00:09:14:00	00:09:15:00	09:14
00:09:15:00	00:09:16:00	09:15
00:09:16:00	00:09:17:00	09:16
00:09:17:00	00:09:18:00	09:17
00:09:18:00	00:09:19:00	09:18
00:09:19:00	00:09:20:00	09:19
00:09:20:00	00:09:21:00	09:20
00:09:21:00	00:09:22:00	09:21
00:09:22:00	00:09:23:00	09:22
00:09:23:00	00:09:24:00	09:23
00:09:24:00	00:09:25:00	09:24
00:09:25:00	00:09:26:00	09:25
00:09:26:00	00:09:27:00	09:26
00:09:27:00	00:09:28:00	09:27
00:09:28:00	00:09:29:00	09:28
00:09:29:00	00:09:30:00	09:29
00:09:30:00	00:09:31:00	09:30
00:09:31:00	00:09:32:00	09:31
00:09:32:00	00:09:33:00	09:32
00:09:33:00	00:09:34:00	09:33
00:09:34:00	00:09:35:00	09:34
00:09:35:00	00:09:36:00	09:35
00:09:36:00	00:09:37:00	09:36
00:09:37:00	00:09:38:00	09:37
00:09:38:00	00:09:39:00	09:38
00:09:39:00	00:09:40:00	09:39
00:09:40:00	00:09:41:00	09:40
00:09:41:00	00:09:42:00	09:41
00:09:42:00	00:09:43:00	09:42
00:09:43:00	00:09:44:00	09:43
00:09:44:00	00:09:45:00	09:44
00:09:45:00	00:09:46:00	09:45
00:09:46:00	00:09:47:00	09:46
00:09:47:00	00:09:48:00	09:47
00:09:48:00	00:09:49:00	09:48
00:09:49:00	00:09:50:00	09:49
00:09:50:00	00:09:51:00	09:50
00:09:51:00	00:09:52:00	09:51
00:09:52:00	00:09:53:00	09:52
00:09:53:00	00:09:54:00	09:53
00:09:54:00	00:09:55:00	09:54
00:09:55:00	00:09:56:00	09:55
00:09:56:00	00:09:57:00	09:56
00:09:57:00	00:09:58:00	09:57
00:09:58:00	00:09:59:00	09:58
00:09:59:00	00:09:60:00	09:59
